RegionID,SizeRank,RegionName,RegionType,StateName,1/31/21,4/30/21,7/31/21,10/31/21,1/31/22,4/30/22,7/31/22,10/31/22,1/31/23,4/30/23,7/31/23,10/31/23,1/31/24,4/30/24,7/31/24,10/31/24
394913,1,New York,msa,NY,2375.172884,2439.562317,2604.012674,2747.226358,2812.969837,2928.143392,3086.702672,3101.07718,3049.553872,3123.97895,3215.867471,3209.870884,3174.657547,3253.440784,3333.168448,3312.654681
753899,2,Los Angeles,msa,CA,2340.04329,2375.787849,2479.666843,2603.361463,2656.615234,2739.026614,2809.742019,2825.98148,2809.89368,2841.280664,2871.594262,2884.808494,2871.25969,2911.722715,2953.144347,2960.439674
394463,3,Chicago,msa,IL,1526.14134,1579.612492,1650.409939,1670.469603,1688.455336,1746.818881,1808.892604,1814.046797,1816.267035,1866.037311,1917.60346,1913.191558,1917.995356,1967.196287,2011.593882,2012.134644
394514,4,Dallas,msa,TX,1399.407109,1439.483439,1534.217735,1604.974007,1638.912942,1683.801944,1756.522203,1747.730534,1728.795475,1746.187442,1766.709081,1756.181164,1741.246848,1748.528748,1768.678076,1760.888138
394692,5,Houston,msa,TX,1388.842066,1409.898367,1485.595414,1531.263635,1546.473203,1580.622073,1620.342869,1619.474173,1615.937931,1641.98795,1666.342345,1657.500276,1656.143264,1676.376708,1700.764048,1703.056842
395209,6,Washington,msa,VA,1881.818613,1915.170381,2019.779033,2080.759487,2083.785243,2137.470988,2213.748792,2209.636463,2182.873866,2233.86363,2279.995119,2290.255503,2283.377249,2342.145005,2395.028225,2393.522636
394974,7,Philadelphia,msa,PA,1487.748198,1517.930576,1580.96222,1617.330579,1652.434241,1688.958142,1731.895898,1734.394151,1733.068143,1755.65528,1781.13597,1800.488546,1800.638892,1826.319566,1852.196929,1868.228756
394856,8,Miami,msa,FL,1850.952625,1937.862015,1937.862015,2269.753671,2406.942862,2520.657432,2608.241546,2629.882942,2642.175595,2656.827425,2677.343219,2697.990109,2703.083595,2730.290782,2741.154116,2755.442716
394347,9,Atlanta,msa,GA,1481.489455,1541.436892,1653.661181,1748.531517,1762.888315,1795.933838,1860.124121,1866.025056,1851.809632,1874.873525,1884.932919,1872.10465,1859.604813,1884.014961,1903.309123,1899.701732
394404,10,Boston,msa,MA,2192.839258,2282.435065,2395.002048,2447.707321,2485.513486,2545.434996,2659.973407,2688.326319,2684.449256,2760.151503,2825.794666,2820.857508,2850.00593,2907.610646,2947.726109,2905.509096
394976,11,Phoenix,msa,AZ,1441.094805,1505.393482,1644.005602,1741.733132,1774.979964,1812.527909,1834.14088,1817.200525,1799.751744,1826.669394,1834.569755,1824.628958,1812.961611,1843.805864,1849.879498,1839.619036
395057,12,San Francisco,msa,CA,2606.498668,2668.309942,2792.960832,2841.753953,2853.134673,2928.984441,2996.965719,2987.537907,2938.635692,2983.174705,3002.94212,2978.431374,2948.356459,3008.10778,3055.72702,3053.30118
395025,13,Riverside,msa,CA,1942.113708,2020.283315,2148.445009,2239.319405,2277.770556,2362.732968,2407.010902,2408.101438,2399.640063,2432.624998,2449.794233,2468.395016,2462.90981,2502.943814,2531.698999,2553.315196
394532,14,Detroit,msa,MI,1157.210894,1190.240088,1244.991011,1279.694374,1296.278672,1326.02479,1370.968785,1369.650136,1365.884233,1378.143618,1399.905929,1409.970344,1420.08163,1444.446993,1476.973465,1486.969866
395078,15,Seattle,msa,WA,1737.641294,1806.873277,1941.282082,2011.912124,2007.711914,2076.988656,2169.43227,2146.466919,2094.606777,2135.513427,2176.637025,2169.062528,2158.196568,2209.911035,2259.37042,2245.910295
394865,16,Minneapolis,msa,MN,1429.158278,1457.734961,1498.736372,1510.499831,1516.382007,1552.063816,1579.617066,1571.605168,1570.082354,1599.856406,1615.302395,1609.76299,1613.05896,1647.868971,1663.782734,1663.993465
395056,17,San Diego,msa,CA,2225.356849,2282.95024,2408.503734,2553.622127,2611.909475,2714.993895,2840.982154,2869.515135,2830.867578,2897.779899,2973.834263,2963.146894,2915.727434,2973.295343,3021.397169,3016.945905
395148,18,Tampa,msa,FL,1458.972309,1515.704125,1661.535075,1791.194366,1842.08587,1902.313623,1973.72382,1970.879799,1974.595291,1998.730877,2018.143653,2028.313622,2027.119622,2039.890676,2050.515471,2064.472938
