RegionID,SizeRank,RegionName,RegionType,StateName,1/31/15,4/30/15,7/31/15,10/31/15,1/31/16,4/30/16,7/31/16,10/31/16,1/31/17,4/30/17,7/31/17,10/31/17,1/31/18,4/30/18,7/31/18,10/31/18,1/31/19,4/30/19,7/31/19,10/31/19,1/31/20,4/30/20,7/31/20,10/31/20,1/31/21,4/30/21,7/31/21,10/31/21,1/31/22,4/30/22,7/31/22,10/31/22,1/31/23,4/30/23,7/31/23,10/31/23,1/31/24,4/30/24,7/31/24,10/31/24
394378,205,Bellingham,msa,WA,1003.903623,1013.745584,1040.98793,1047.031155,1062.989185,1082.34318,1108.116306,1131.609244,1135.869368,1174.71205,1205.466918,1229.39695,1220.443163,1280.991537,1298.418466,1322.377041,1337.637517,1376.88741,1393.971389,1391.274672,1421.399463,1478.72246,1477.179017,1455.790288,1498.41084,1571.316997,1619.22971,1686.421451,1715.09049,1783.979489,1831.232408,1834.088858,1847.121973,1907.889672,1926.754175,1939.765696,1920.358883,1975.887325,2001.813018,1997.730099
394429,206,Burlington,msa,VT,,,,,,,,1738.330788,1718.505909,1781.608062,1816.663548,1803.642391,1813.241482,1871.09811,1840.363058,1872.556414,1868.672503,1879.747658,1903.261167,1937.529817,1860.75539,1946.599045,2004.313842,2019.720248,2024.927342,2019.498608,2140.502889,2218.841665,2223.555968,2271.527004,2419.013476,2466.269089,2456.344288,2503.739469,2560.606703,2705.442162,2619.64443,2674.652784,2732.061926,2778.195268
395030,207,Rochester,msa,MN,1074.810022,1126.499049,1129.766251,1139.097579,1139.410792,1159.043309,1173.876509,1157.834446,1180.652094,1208.79828,1208.272512,1179.797808,1172.029644,1203.723941,1244.23082,1255.973787,1246.653054,1268.67517,1279.497863,1301.288752,1281.963891,1310.967348,1296.126978,1281.217196,1292.224496,1344.286471,1370.287807,1368.919816,1408.169604,1450.555545,1494.702402,1475.572489,1496.701818,1521.568033,1546.449601,1525.424142,1509.452307,1566.795597,1597.926805,1580.685464
753895,208,Lafayette,msa,IN,916.4736984,938.8712415,921.1514216,937.0180998,937.0390304,936.0555545,945.7411284,958.9000166,973.2099675,977.7686655,992.7462474,981.9056412,1006.212574,1006.108227,1031.715234,1028.715991,1045.959419,1057.192286,1082.231194,1082.48905,1081.214953,1102.504196,1108.437384,1139.730863,1146.067431,1147.308075,1187.278734,1214.737071,1228.737836,1274.971104,1326.046704,1389.110847,1385.464657,1407.199756,1467.437578,1487.723739,1527.546521,1514.157214,1549.335152,1623.656454
394454,209,Champaign,msa,IL,864.9099362,891.5937219,901.9706877,896.866064,880.526603,898.8144518,909.1633975,896.7725103,916.2868184,918.6509857,919.2791316,926.2989877,925.4384682,943.7586507,941.3833635,940.4693541,969.7859885,972.4944933,969.3174644,985.1250465,994.4075725,990.4612093,981.7718139,1007.856007,1012.734023,1024.414395,1040.271775,1067.1493,1099.835576,1136.127858,1144.549103,1160.030361,1185.395608,1210.133253,1198.497496,1222.518162,1236.638072,1265.447298,1310.712429,1311.009336
394848,210,Medford,msa,OR,1013.46465,1045.763718,1077.232967,1107.076144,1138.434204,1177.916034,1192.878254,1229.332233,1227.923252,1270.509154,1302.944302,1321.34137,1331.841668,1357.102834,1387.737591,1385.498166,1353.965096,1417.783906,1445.232343,1438.296731,1454.922866,1436.474307,1501.435473,1551.384301,1604.740842,1614.860364,1654.699154,1698.223604,1722.469369,1736.987358,1785.390296,1784.911212,1760.000607,1798.928295,1835.899014,1856.053215,1860.190661,1895.419117,1915.695709,1927.374074
845164,211,Lebanon,msa,NH,,,,,,,1154.599732,1174.260209,1157.040849,1165.843391,1228.578682,1203.518914,1211.448346,1214.556778,1294.135684,1290.20525,1251.093676,1316.845468,1332.954871,1339.319933,1388.486033,1386.318005,1455.126294,1469.539826,1491.430684,1453.939441,1575.15096,1600.019214,1625.102949,1732.132166,1731.643198,1752.892949,1833.168355,1880.595782,1874.070863,1995.745581,1940.855703,2008.939745,2025.779207,2015.735556
394459,212,Charlottesville,msa,VA,1114.486389,1157.412919,1152.260652,1165.108605,1164.586106,1193.004218,1207.947733,1198.691261,1206.737334,1238.30764,1258.01973,1263.637559,1290.533658,1297.097211,1316.296056,1324.243395,1322.071176,1363.339199,1361.474965,1376.392561,1374.705088,1403.219499,1398.95777,1429.417032,1437.481321,1460.675315,1534.41134,1558.358774,1601.29883,1627.841708,1681.591779,1693.136272,1713.683795,1748.093277,1765.613611,1794.606384,1763.404972,1856.386028,1911.204627,1883.678214
394763,213,Lake Charles,msa,LA,,,,,,876.8652046,885.7339054,915.1386658,940.4618625,917.191337,934.3685244,964.6462487,958.5014244,973.7877415,961.8407191,968.7312764,958.8509682,938.4464488,961.0299884,912.0047679,904.6636958,886.595586,922.3499012,895.4252326,,1131.952642,1141.744751,1107.179408,1081.414665,1034.917533,1009.01295,976.2423317,979.0043573,948.8215056,995.2841515,1013.458511,992.0164328,1000.984978,1035.922106,1027.430291
394773,214,Las Cruces,msa,NM,880.0091723,884.8509008,892.7775051,895.7527544,901.2111136,900.1116561,917.7228937,914.4306444,922.6141151,929.5849851,935.8644071,941.1811182,946.8286181,960.399567,966.5129273,966.6436099,978.7287554,989.8483696,1005.532563,1019.369237,1022.519806,1049.368394,1041.260251,1099.160064,1119.513175,1136.16801,1170.167022,1225.720437,1261.396288,1329.157362,1339.871428,1336.284955,1387.462756,1394.633719,1432.944631,1459.888612,1438.599156,1479.989405,1480.861364,1496.216776
