RegionID,SizeRank,RegionName,RegionType,StateName,1/31/15,4/30/15,7/31/15,10/31/15,1/31/16,4/30/16,7/31/16,10/31/16,1/31/17,4/30/17,7/31/17,10/31/17,1/31/18,4/30/18,7/31/18,10/31/18,1/31/19,4/30/19,7/31/19,10/31/19,1/31/20,4/30/20,7/31/20,10/31/20
394321,340,Altoona,msa,PA,132554.6817,131546.2596,135374.5223,137440.4625,138429.9986,139108.5283,141543.799,141104.3625,142415.2228,146844.1003,149784.1468,149500.5876,146815.509,147334.7351,145721.308,144249.9299,146107.352,144779.6109,146591.0575,151358.856,154478.2825,158682.4792,157683.2005,162559.1508
394905,341,New Bern,msa,NC,132608.0934,131831.3125,132529.1446,133521.0535,133972.1708,134430.0416,135408.0288,137416.3651,138771.7122,139840.7098,139952.1448,141464.1195,143300.3871,145134.2984,146449.3864,147826.7418,149369.986,150674.1407,153000.1492,155274.2345,158563.6201,160793.5351,162206.3321,167271.3255
394635,350,Goldsboro,msa,NC,101848.6213,101977.5638,103493.8027,104896.3374,107644.3535,108101.7403,107946.7967,109165.9042,111533.3932,112266.716,112603.3123,114766.2098,115888.8038,115838.9039,117724.0773,119687.5896,120865.3106,121727.9965,122734.2591,121307.075,123755.9716,127609.8669,130452.3126,134468.3854
394423,360,Brunswick,msa,GA,146322.9637,148451.0212,151314.7983,153851.8849,154319.203,155309.866,158145.2145,158247.2213,155817.5592,158612.9836,162180.0668,167756.1264,172955.4649,174568.1215,176355.7188,180679.919,185361.747,187632.9019,187813.391,189772.4675,193283.2769,196572.8364,197527.0162,204074.6223
753872,361,California,msa,MD,282667.2576,280664.1201,282733.8062,283964.175,285002.1231,281323.8138,281423.0215,279990.6516,283033.1066,286601.0583,290349.415,292480.7653,294686.4884,294831.0865,296826.083,299265.0041,300580.4702,304348.7143,306357.4326,309301.7453,314008.2624,318297.2051,319964.6755,329897.7203
394495,363,Cookeville,msa,TN,129766.563,130082.7457,131876.6688,134796.1969,137230.7642,139471.6275,140121.4154,142997.1391,146058.772,146812.5577,148214.9011,151876.4492,154953.6847,158109.9972,160665.5713,163767.0177,166135.0734,170076.0688,174190.8924,178177.0305,184110.291,185796.1008,189875.1203,195960.5626
395039,366,Roseburg,msa,OR,159611.578,161898.7517,165834.1491,169934.4222,172998.2448,174867.5208,177031.4508,179690.3932,182690.7693,187019.8723,191226.261,196548.6017,201264.9622,206466.912,208841.7109,211501.248,214052.8771,216397.4595,219883.9285,224513.7228,230013.8989,235449.4348,238391.8408,247149.5199
394788,367,Lewiston,msa,ME,136531.6062,136628.5952,139375.6416,141414.1634,142295.981,143274.0371,144721.3357,147090.2893,150484.5489,152909.5227,157494.7098,160157.3282,163780.3072,166128.8084,168534.422,171371.7274,173454.3257,176392.1493,178258.1701,181457.7978,185161.698,190545.9351,195177.7016,205945.8591
394932,369,Ogdensburg,msa,NY,86531.45309,85664.17402,87087.17345,89586.75553,90059.63857,89557.51585,89460.23106,90125.71657,91982.07572,91201.14575,90167.77973,90330.9615,91044.71593,91028.96712,92867.36441,94864.82617,94501.40833,95659.82629,96736.57905,98281.99304,99340.22875,98602.33998,99437.94669,103552.2815
394396,371,Bluefield,msa,VA,82210.67818,82868.8786,84420.78304,85878.81138,86966.88235,86172.45938,85234.13981,85564.26452,84975.44465,85288.5165,84645.06454,84960.61247,84614.37605,85114.75432,85377.64585,85858.80795,86098.6389,86847.21637,87324.21665,87264.22652,87777.40416,88704.70657,89241.1301,93979.85502
395095,372,Show Low,msa,AZ,169721.7811,173265.5741,176238.8937,177818.3278,179489.8803,182972.5899,184826.6447,186354.2633,189135.113,192292.4373,196018.9894,199791.5308,202574.1775,205581.2346,208521.0309,213084.1388,217268.1451,224488.5787,228467.4043,231763.8737,236353.7096,243223.7747,247943.2835,260620.7797
395168,374,Tullahoma,msa,TN,124226.5423,126227.2917,129383.6287,132723.5781,135779.7553,137114.1609,138387.9049,141451.9839,145480.4887,146719.1743,148656.6383,152259.1433,155526.1107,157873.1361,159438.6904,162074.5254,165252.7505,171792.9469,175842.717,179918.0283,183752.0388,186857.8519,189774.3256,196129.345
394709,376,Ithaca,msa,NY,195888.4954,198591.4161,199581.1855,203974.7767,205986.7024,205366.1127,205880.6404,209156.3929,212543.4463,214322.9342,217920.599,219296.3143,220892.2361,222649.7229,223693.7331,224808.9902,224998.5811,224533.145,223240.5343,224985.6097,228287.3411,230371.3936,231465.3285,238498.0246
394369,380,Bay City,msa,MI,88927.78648,89048.40273,91476.96093,92711.45299,93171.90023,93674.35798,94425.7732,94372.70004,93878.76856,94229.459,95697.88549,97108.71016,98758.0163,99867.10359,100447.7656,100214.8315,101332.9684,105372.3786,108720.9326,111190.1658,114191.9697,116433.7594,117996.0935,121813.4824
394518,385,Danville,msa,VA,87477.95762,85214.016,87897.81811,89027.10814,89514.32595,90825.92387,89690.30258,89986.72376,90721.29685,90411.518,90371.37558,90588.81681,91244.49041,91638.10172,91286.09213,91751.87205,92154.2351,94888.59634,96368.03599,97789.67162,98631.10319,99397.15296,100593.8021,105408.1015
