RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2010,4/30/2010,7/31/2010,10/31/2010,1/31/2011,4/30/2011,7/31/2011,10/31/2011,1/31/2012,4/30/2012,7/31/2012,10/31/2012,1/31/2013,4/30/2013,7/31/2013,10/31/2013,1/31/2014,4/30/2014,7/31/2014,10/31/2014,1/31/2015,4/30/2015,7/31/2015,10/31/2015,1/31/2016,4/30/2016,7/31/2016,10/31/2016,1/31/2017,4/30/2017,7/31/2017,10/31/2017,1/31/2018,4/30/2018,7/31/2018,10/31/2018,1/31/2019,4/30/2019,7/31/2019,10/31/2019,1/31/2020,4/30/2020,7/31/2020,10/31/2020
753924,55,Urban Honolulu,msa,HI,448439.1744,459769.7279,467709.2822,472323.6044,478611.247,477471.1006,470206.6226,466902.4682,466556.7066,464376.8918,464073.8511,473564.2891,481172.2913,485646.2308,492402.5735,505742.7443,514565.6383,523628.5328,532533.1701,542307.5145,549182.2736,554300.9602,559515.7064,572117.9521,577198.7197,587137.5452,593338.7494,605807.2939,617099.3661,625181.557,632991.669,642565.938,650809.2219,658769.5822,666309.6653,670159.3404,668379.2268,669742.0772,669775.3321,667307.7075,670840.1541,675479.1644,673165.4434,684529.9592
395169,56,Tulsa,msa,OK,127130.6684,128620.3678,128890.1351,126932.2078,125217.1711,123129.1074,121600.762,121779.9266,121027.1986,120575.1958,121480.9284,121800.2958,123002.9052,123588.528,124401.2551,124875.8757,125936.2976,126201.8739,127349.7168,128652.7095,130778.1091,132056.9617,132924.4642,133746.3532,132282.1779,134954.5794,136772.7246,138796.9187,141350.1637,143434.3596,143796.6942,144271.0581,143078.1932,145258.3917,146334.5171,147911.2642,150340.0672,150647.5206,152561.7989,154325.3507,159353.2201,162411.8329,163907.0116,169813.3543
394619,57,Fresno,msa,CA,166208.679,168736.5022,165423.5328,158726.2864,156494.1176,148187.5688,143517.077,140282.3544,138650.9438,141637.7414,145596.4503,149958.7866,154929.9761,159705.5695,167367.2558,175434.6672,181399.2064,185373.2766,189796.1921,191871.9802,194824.6019,196036.0515,199394.4065,205083.2325,209646.6827,212372.9883,214206.6766,218478.1931,223116.6626,227972.316,232516.5598,237198.2144,243489.2169,250245.1966,254829.3352,258721.5108,261353.5592,265984.1355,266628.6967,268830.6758,272858.6443,276610.8904,277576.0596,286980.2752
395238,58,Worcester,msa,MA,237896.2615,241093.2592,239462.0427,234090.7765,229315.4284,225929.8519,223166.7793,220026.8969,214807.6805,207635.2732,205666.5425,204232.1587,204883.7019,207393.4816,211786.3063,214478.1516,216538.7049,219086.9986,221752.4218,222604.5182,223504.4836,225924.2506,228630.4461,231570.5415,234242.1009,237621.6678,241278.0919,244358.0719,248561.4382,253121.7917,258196.9142,262448.0988,266270.9794,271636.9852,276081.0207,278980.1129,278786.2319,282274.1702,285322.3478,287282.2005,291725.5648,297650.5017,301044.8909,312532.6955
394938,59,Omaha,msa,NE,145131.28,146118.8665,145271.4586,140647.7247,138183.4375,137547.2553,136708.4963,136523.7128,135831.2038,135073.2789,135795.2976,137534.3249,138342.4311,139578.811,140555.8335,142457.5876,143329.1543,143939.6882,145258.1216,146173.2968,147302.4656,149239.2775,151509.8269,154246.834,156450.1212,158551.1791,160159.7208,162088.7073,164153.0613,166807.2206,170021.2164,172465.7015,175446.9017,178598.2628,181362.1223,183300.5222,185421.4371,188633.7575,191369.3956,194219.6322,198056.7954,202159.1021,204655.8859,211655.9677
394415,60,Bridgeport,msa,CT,398644.0986,395958.68,398238.7081,388759.3241,378151.4137,373960.2605,371006.953,365365.3702,362154.1185,363646.4643,365407.648,365017.6125,366139.2273,368681.2228,373585.7635,380353.9454,384678.4498,386609.6899,388779.9689,387880.4034,388729.6385,390875.9616,391367.2052,394438.5448,396931.0767,396856.1925,395854.8475,395220.2692,399989.8777,403480.0893,405320.2934,404099.2271,406272.3983,407377.8116,407888.7159,407490.1706,407016.8948,406866.2441,405479.6201,404014.5148,406233.0528,412160.8173,410102.5227,422795.7985
394653,61,Greenville,msa,SC,139369.9566,139402.7928,139486.8376,138656.1102,136795.2605,134715.2839,134202.1166,133302.1508,132679.9497,133052.403,133555.0973,133986.9472,134475.6603,135424.8568,137073.7538,138585.6338,139807.2425,141184.8008,142828.8434,143612.5618,144812.4678,146987.076,149532.9247,152528.3269,155654.7546,157489.385,159060.8668,162181.4077,164497.0199,166865.9714,169489.8547,172029.3172,175694.302,178837.4708,181695.8883,184605.7689,186949.4494,188439.6351,190212.2721,192713.7695,195845.8401,199547.2785,202172.0747,208760.2899
394357,63,Bakersfield,msa,CA,133253.0353,134401.059,133692.2349,131505.5643,128276.2181,125545.7705,120840.5617,119258.4232,120240.6456,122989.8911,125875.8024,128448.835,134593.9733,141693.3022,149098.6464,156122.2154,163124.7466,167434.0971,170951.0658,172742.818,176705.8883,179233.9046,181880.8242,185064.714,189209.1234,192028.7517,192526.3866,193717.7157,196775.1354,199885.8703,201728.2509,204385.7006,208866.2413,212757.6345,216040.4902,218133.6439,221123.2509,224847.7707,227301.5063,229422.0642,233064.7746,237280.5616,239907.7227,247698.3449
394308,64,Albany,msa,NY,204585.4524,204761.1042,206598.7175,204887.8206,201875.4057,200797.4038,197824.5453,195499.447,193964.7301,195292.8097,195381.0961,193509.3136,194653.5303,196590.4307,197878.1454,196669.6995,196671.1342,198100.1965,198987.7314,197406.4415,197086.0424,198410.9549,199511.9416,200896.5079,201790.2426,203090.1787,204059.4709,205292.3463,207009.0689,208131.7408,211122.0504,213485.6253,216194.8301,218509.0236,221652.2233,223928.5819,224660.4865,227488.2755,229463.9743,231246.3248,234174.2647,236386.892,238519.5664,244702.4283
394753,65,Knoxville,msa,TN,143419.2673,143978.9058,144242.0529,143249.8606,141759.6142,140881.9043,139552.7461,139318.9475,138414.8968,139136.3104,139586.2126,139506.447,139385.4519,140669.547,142020.8482,142539.376,143454.0657,144752.9631,146929.5973,147082.0066,147389.3225,148732.1142,150727.6018,152604.8918,154391.166,156181.8083,157265.5286,159100.3443,162120.5164,163717.4055,166108.5317,168653.8022,171647.7557,175083.6222,177307.5125,179965.7405,181856.9913,183739.3198,187186.2145,190706.7621,195722.5093,200110.442,202717.1745,210331.2275
